taxid
8508
661126
261510
266055
933637
979741
979742
979743
979745
1126051
1216931
293406
302469
302470
302471
1227504
3146335
3237486
3379902
405597
854744
854745
854746
854747
854748
854749
854750
854751
854752
854753
854754
854755
854756
854757
854758
854759
854760
854761
854762
854763
854764
854765
854766
854767
854768
854769
854770
854771
854772
854773
854774
854775
854776
854777
854778
854779
854780
854781
854782
854783
854784
854785
854786
854787
854788
854789
854790
854791
854792
854793
854794
854795
854796
854797
854798
854799
854800
854801
891836
891837
891838
891839
891841
891842
891843
891844
891845
891846
891847
891854
891855
891856
891857
891859
891860
891861
891862
891865
891866
891867
891868
891869
891870
924843
924845
976691
976692
976693
976694
976695
976696
976697
976698
976699
976700
976701
976702
976703
976704
976705
976706
976707
976708
976709
976710
976711
976712
976713
976714
976715
976716
976717
976718
976719
976720
976721
976722
1068374
1068375
1068376
1068377
1068378
1068379
1068380
1068381
1068382
1068383
1068384
1068385
1068386
1068387
1068388
1068389
1068390
1068391
1068392
1068393
1068394
1068395
1068396
1068397
1068398
1068399
1068400
1068401
1068402
1068403
1068404
1068405
1068406
1068407
1068408
1068409
36310
146910
146911
146912
278186
515997
515998
515999
655675
655676
655677
655678
655679
655688
742354
879548
1085616
1085617
1085618
1085619
1118396
1118397
1118398
1118399
1118402
1118507
1118509
1208033
1278061
1354923
1354924
1367210
1592193
1592194
1592195
1699781
1699782
1699783
1932359
2116494
2572841
2572845
516000
655680
655681
1118403
1118404
1551632
1551633
1551634
2683604
2683605
2954242
3320153
3469261
2683594
2703973
2703974
2704012
2704013
2748832
2801905
2801906
2801910
2802207
2823937
2836300
2840970
2840971
2850563
2912761
2927047
2951070
2951071
2951072
2954243
2954248
2981846
3036564
3065503
3103402
3146554
3146560
3148125
3148126
3148127
3148128
3148129
3148130
3148131
3148135
3148136
3148137
3148138
3360071
3360072
3360073
3379843
3411766
13085
476505
476506
1426848
42751
2922862
635084
912638
143530
232289
357344
635082
232295
635087
912637
1175429
357343
635092
635093
635078
635079
635081
232306
232307
357338
357334
232310
232311
232312
232313
232314
232318
347813
357323
357324
357325
357326
357327
357328
357330
357335
635096
357331
357332
357333
403994
403995
403996
502254
635090
635091
357339
357340
357342
1307095
403993
447332
447333
447334
634442
634443
634444
634445
634446
634447
634448
634449
912636
1036026
1175426
2922863
2982618
1175428
1175433
89547
447335
1175620
2590754
2830267
3105990
47723
47724
47725
747221
1085620
1118400
1208035
1232765
1232766
1232767
1232768
1367206
1917455
1985899
2079381
2079382
2079383
2079384
2079386
2079388
2079389
47726
1232769
2079390
2079391
2079392
2079393
2079394
2079395
2079396
2928733
2928736
3065720
3146801
47728
47729
51756
179106
343425
146913
559884
559885
2775263
343446
260202
261703
261704
309175
309176
343426
343427
343428
343429
343430
343431
343432
343433
343434
343435
343436
343437
343438
343439
343440
343441
343442
343443
343444
343447
401547
498594
498595
498596
498597
498598
559886
559887
666680
797295
797296
797297
863650
863651
863652
863653
863654
863655
863656
863657
863669
863673
913952
933625
941191
993017
993018
993019
993023
993024
1178545
1214521
1226695
1226696
1226698
1226699
1226700
1226701
1226702
1226703
1341614
1341618
1341622
1341623
1341624
1341625
1341626
1341628
1341652
1341653
1341654
1441472
1441473
1441474
1453827
1592013
1643447
1643448
1643449
1734383
1764315
1766037
1819760
1819761
1819762
1836611
1920859
1939602
1939660
1939662
2036058
2048270
2050029
2054875
2068814
2080857
2080858
2161683
2202398
2202399
2202400
2301438
2301439
2301440
2364297
2364302
2364303
2364305
2364306
2493127
2583510
2583511
2583512
2583513
2583514
2583515
2586430
766177
863661
863662
863663
881925
993020
993021
993022
1226704
1341662
1341663
1341664
1341665
1341666
1341667
1341668
1427983
2109681
2575708
2575709
2575710
2575711
2575712
2575713
2575714
2653538
2653539
2653540
2653541
2653542
2872221
2872222
2872223
2872224
2872225
2872226
2872227
2872228
2872229
2872230
2872231
2872232
2872233
2872234
2872235
2872236
2897829
2897830
2925865
3230514
3230515
3230516
3367377
3375478
3405150
3405151
3449333
2652146
2652147
2652148
2652149
2652150
2653537
2716611
2716612
2716613
2716614
2716615
2716616
2772277
2775264
2781868
2862726
2862730
2862731
2862732
2862733
2872237
2897831
2897832
2902614
2929022
2934726
2934727
2934759
2934760
2934761
3002852
3051537
3053530
3053532
3102982
3144187
3144188
3144189
3144190
3144232
3146632
3146637
3146647
3146648
3146649
3146650
3146653
3146655
3148188
3447564
57064
221563
301837
301838
301839
301840
301841
301842
301843
301844
301845
2879913
301847
301848
301849
301850
301851
301852
301853
768694
768695
768696
768697
768698
768699
768701
768702
3058100
3058101
768705
768707
768708
768709
768711
768712
933626
983886
1127713
1175304
1175305
1237152
1428574
1428575
1428576
1537660
1537661
1537662
1537682
1537683
1537684
1537685
1537686
1537688
2202423
2320204
2498836
232319
301855
301856
301857
1127731
1175615
1237153
1777017
1777018
2233627
2233628
2233629
2782519
2867315
2867316
2867317
2867318
2867319
2867320
2867321
2867322
2867323
2867324
2867325
2867326
2867327
2867328
2867329
2867330
2867331
2872520
2872521
2872522
2872523
2872524
