taxid,status
1174809,Least Concern
1120454,Least Concern
1174810,Near Threatened
1174811,Least Concern
1174812,Least Concern
1120456,Vulnerable
1174818,Endangered
1120457,Least Concern
334158,Least Concern
1173651,Least Concern
1280814,Least Concern
383645,Least Concern
1174824,Least Concern
1174825,Near Threatened
1174826,Least Concern
1378368,Least Concern
1174827,Least Concern
1300367,Least Concern
205048,Least Concern
1174828,Least Concern
1174829,Least Concern
1378369,Least Concern
1120459,Least Concern
468172,Least Concern
1387187,Vulnerable
3029951,Least Concern
1174831,Least Concern
1120460,Least Concern
1174832,Least Concern
1469224,Least Concern
1378375,Least Concern
138517,Least Concern
205049,Least Concern
1378378,Least Concern
1173653,Least Concern
138518,Least Concern
138025,Least Concern
1680468,Least Concern
1174839,Least Concern
795977,Near Threatened
139010,Least Concern
1708234,Least Concern
1174841,Least Concern
334159,Least Concern
866002,Least Concern
383646,Least Concern
138027,Least Concern
1173654,Least Concern
1174843,Least Concern
694550,Least Concern
795978,Least Concern
224085,Least Concern
334166,Least Concern
1173656,Least Concern
694551,Least Concern
138029,Least Concern
1173657,Least Concern
1174848,Least Concern
1174803,Least Concern
209392,Least Concern
178754,Least Concern
698353,Least Concern
138031,Least Concern
1174849,Least Concern
694553,Least Concern
383649,Least Concern
1280819,Least Concern
1280820,Least Concern
198752,Least Concern
334160,Least Concern
383650,Endangered
205053,Least Concern
1174851,Least Concern
1173658,Least Concern
205055,Least Concern
866003,Least Concern
1469229,Vulnerable
1174854,Least Concern
205056,Least Concern
1479007,Least Concern
1173659,Least Concern
1174855,Least Concern
1387189,Least Concern
866004,Least Concern
1174857,Least Concern
383653,Least Concern
139013,Least Concern
866005,Least Concern
205057,Least Concern
138036,Least Concern
1985974,Near Threatened
694554,Least Concern
139014,Least Concern
1174859,Least Concern
1174862,Least Concern
1173660,Least Concern
138039,Least Concern
198753,Least Concern
1174865,Least Concern
1174867,Least Concern
866006,Critically Endangered
138519,Least Concern
1174868,Least Concern
205059,Least Concern
383655,Least Concern
1378399,Least Concern
334161,Least Concern
1174869,Least Concern
1120466,Least Concern
205060,Least Concern
1174871,Least Concern
1378401,Least Concern
139015,Least Concern
1174876,Least Concern
880440,Least Concern
1174877,Endangered
334164,Least Concern
1378403,Least Concern
205061,Least Concern
205062,Least Concern
1174878,Endangered
3015826,Least Concern
1378404,Least Concern
1174879,Least Concern
694555,Least Concern
866008,Least Concern
694556,Least Concern
1174883,Least Concern
683736,Least Concern
1378407,Least Concern
1280824,Least Concern
479624,Least Concern
420411,Least Concern
1300370,Least Concern
1174885,Least Concern
1680469,Least Concern
1174888,Least Concern
1469233,Least Concern
1378409,Least Concern
1174890,Least Concern
1173661,Least Concern
1173662,Least Concern
1173663,Least Concern
2528875,Least Concern
1378412,Least Concern
205063,Least Concern
1387191,Least Concern
1174894,Least Concern
1174896,Least Concern
138522,Least Concern
1280825,Least Concern
1469236,Least Concern
1120470,Least Concern
1708242,Least Concern
694558,Least Concern
1174899,Least Concern
1680470,Least Concern
334167,Least Concern
1174901,Least Concern
1378420,Least Concern
334174,Least Concern
1174905,Least Concern
1173666,Least Concern
383657,Least Concern
694559,Least Concern
1174908,Least Concern
1173668,Least Concern
1174909,Least Concern
1378425,Least Concern
694560,Least Concern
1378426,Least Concern
1174910,Least Concern
178756,Least Concern
1280829,Least Concern
1378427,Least Concern
1378430,Least Concern
1378432,Endangered
1120475,Least Concern
1174916,Least Concern
139017,Least Concern
138524,Least Concern
1378435,Least Concern
1120477,Least Concern
198754,Least Concern
1120478,Least Concern
1387193,Vulnerable
1174917,Least Concern
1173671,Least Concern
1680472,Least Concern
468212,Least Concern
767884,Vulnerable
1940493,Least Concern
2847331,Least Concern
2732283,Extinct
1123418,Least Concern
2906909,Least Concern
2906910,Least Concern
1237393,Least Concern
2906918,Least Concern
2906919,Least Concern
2906920,Near Threatened
2906924,Near Threatened
681400,Least Concern
2906927,Data Deficient
2906930,Endangered
2906931,Least Concern
2894811,Least Concern
2878459,Least Concern
2906934,Endangered
992628,Least Concern
2906938,Least Concern
1848371,Least Concern
2906942,Least Concern
212272,Least Concern
2906950,Least Concern
681401,Least Concern
2906965,Least Concern
2906966,Least Concern
2906969,Least Concern
2907142,Least Concern
316627,Least Concern
2906984,Vulnerable
1123420,Least Concern
2906992,Least Concern
2906993,Least Concern
1568978,Least Concern
338219,Least Concern
360511,Least Concern
1566323,Endangered
266413,Least Concern
1980043,Least Concern
1980044,Least Concern
2902770,Least Concern
1407136,Least Concern
558811,Least Concern
1407137,Least Concern
392908,Least Concern
1357720,Least Concern
548160,Least Concern
201699,Least Concern
1134120,Data Deficient
1104382,Least Concern
521297,Data Deficient
1917246,Vulnerable
51051,Least Concern
1328281,Vulnerable
1216035,Vulnerable
1917246,Near Threatened
2201885,Vulnerable
1216036,Near Threatened
1917279,Near Threatened
1328282,Near Threatened
1328283,Near Threatened
57776,Least Concern
1110370,Least Concern
642416,Least Concern
642417,Vulnerable
642418,Least Concern
57777,Least Concern
642419,Least Concern
642420,Least Concern
642421,Least Concern
545070,Least Concern
1110371,Least Concern
1110372,Least Concern
862236,Data Deficient
642422,Least Concern
642423,Least Concern
200166,Least Concern
54769,Least Concern
57068,Least Concern
458545,Data Deficient
1672024,Least Concern
990551,Data Deficient
327816,Least Concern
1053711,Data Deficient
1379451,Least Concern
197497,Vulnerable
143455,Least Concern
117185,Least Concern
108821,Least Concern
2489339,Least Concern
117186,Least Concern
117188,Least Concern
117189,Least Concern
117190,Vulnerable
117191,Least Concern
117493,Least Concern
117192,Least Concern
117193,Least Concern
117195,Least Concern
117197,Least Concern
117199,Least Concern
882964,Near Threatened
155076,Least Concern
155072,Least Concern
1482966,Vulnerable
2175998,Least Concern
1778575,Least Concern
1241320,Least Concern
690289,Least Concern
2516545,Least Concern
2516546,Least Concern
1247901,Least Concern
2516547,Least Concern
2201893,Least Concern
2516548,Least Concern
2516550,Least Concern
2516555,Least Concern
1247902,Least Concern
336110,Least Concern
473344,Least Concern
2914954,Least Concern
440077,Near Threatened
44400,Endangered
241402,Near Threatened
241403,Near Threatened
145231,Vulnerable
80966,Least Concern
1677044,Least Concern
13323,Least Concern
1855258,Least Concern
111505,Least Concern
111506,Near Threatened
1091104,Critically Endangered
282411,Endangered
111518,Least Concern
111507,Least Concern
1855260,Data Deficient
463644,Least Concern
80444,Least Concern
1855251,Least Concern
111511,Least Concern
1500252,Vulnerable
80463,Data Deficient
1325132,Least Concern
1855261,Least Concern
1855257,Least Concern
1855259,Critically Endangered
111512,Least Concern
111513,Least Concern
111514,Data Deficient
463645,Critically Endangered
1543449,Least Concern
1543448,Data Deficient
111515,Least Concern
111516,Least Concern
463643,Vulnerable
1879021,Least Concern
1634959,Near Threatened
80464,Least Concern
714888,Endangered
94413,Least Concern
1855252,Least Concern
1855254,Data Deficient
1855255,Least Concern
111517,Least Concern
86203,Least Concern
267130,Least Concern
2768273,Endangered
1231916,Least Concern
202583,Least Concern
1759615,Vulnerable
1935286,Data Deficient
369083,Vulnerable
1843782,Least Concern
2204292,Least Concern
160963,Least Concern
119680,Least Concern
767411,Least Concern
8179,Least Concern
1311410,Data Deficient
561091,Near Threatened
8177,Data Deficient
1129777,Least Concern
1529694,Least Concern
72011,Least Concern
2710630,Least Concern
561090,Vulnerable
509893,Data Deficient
1003681,Vulnerable
440883,Least Concern
8605,Least Concern
1752123,Vulnerable
1752122,Vulnerable
239753,Least Concern
239746,Least Concern
239752,Least Concern
239748,Least Concern
239747,Least Concern
154465,Critically Endangered
797581,Least Concern
672229,Data Deficient
1395684,Least Concern
352243,Least Concern
1464066,Least Concern
266335,Least Concern
266336,Least Concern
720576,Least Concern
285987,Least Concern
2589072,Data Deficient
52216,Near Threatened
753574,Least Concern
2202102,Least Concern
103692,Least Concern
118088,Least Concern
2202103,Least Concern
303729,Least Concern
587042,Least Concern
136851,Vulnerable
753643,Least Concern
1962508,Data Deficient
1917454,Least Concern
1316011,Least Concern
157584,Least Concern
670521,Least Concern
238050,Least Concern
51758,Least Concern
1920672,Vulnerable
157585,Least Concern
238051,Least Concern
1484166,Least Concern
2609487,Least Concern
75013,Least Concern
390296,Least Concern
1316012,Least Concern
1828454,Least Concern
459747,Least Concern
483362,Least Concern
2080250,Least Concern
175430,Least Concern
927808,Least Concern
175431,Least Concern
753644,Least Concern
12913,Least Concern
175432,Least Concern
238052,Least Concern
238053,Least Concern
1146949,Data Deficient
175433,Least Concern
1567455,Least Concern
1484167,Least Concern
586769,Least Concern
175434,Least Concern
1316013,Least Concern
175435,Least Concern
1510433,Least Concern
75014,Least Concern
241842,Least Concern
328098,Least Concern
13327,Least Concern
1605258,Least Concern
357281,Least Concern
743463,Least Concern
1890215,Data Deficient
2021660,Data Deficient
2033369,Least Concern
2099656,Vulnerable
2875591,Data Deficient
2022029,Least Concern
260130,Least Concern
2868200,Least Concern
387787,Least Concern
321116,Least Concern
2884257,Vulnerable
387791,Least Concern
2884258,Vulnerable
993364,Least Concern
518695,Least Concern
2868202,Least Concern
261198,Least Concern
2900696,Near Threatened
387793,Least Concern
387794,Least Concern
387795,Least Concern
8957,Least Concern
2900697,Least Concern
258530,Least Concern
1037346,Endangered
1620263,Near Threatened
2900698,Near Threatened
387797,Vulnerable
2868207,Least Concern
387798,Near Threatened
2911130,Vulnerable
993370,Near Threatened
387799,Least Concern
387800,Least Concern
2571053,Least Concern
993371,Least Concern
2911131,Least Concern
211598,Least Concern
387801,Least Concern
387803,Least Concern
387804,Least Concern
387805,Near Threatened
2915014,Vulnerable
2911133,Least Concern
2219150,Least Concern
518696,Least Concern
387806,Least Concern
56330,Least Concern
56255,Least Concern
387808,Least Concern
387809,Least Concern
2868208,Least Concern
210844,Least Concern
387810,Least Concern
1297157,Least Concern
376894,Least Concern
2527884,Least Concern
1365531,Least Concern
376739,Least Concern
1366218,Least Concern
508006,Least Concern
1281316,Least Concern
2590769,Data Deficient
1182854,Least Concern
1914712,Least Concern
412651,Data Deficient
290841,Least Concern
1779274,Least Concern
355904,Least Concern
1424745,Critically Endangered
171203,Least Concern
1986356,Data Deficient
134795,Least Concern
171204,Least Concern
2585780,Critically Endangered
873086,Vulnerable
290842,Least Concern
66205,Least Concern
171205,Least Concern
169053,Least Concern
66206,Least Concern
290844,Least Concern
934061,Least Concern
66207,Least Concern
134796,Least Concern
3050840,Vulnerable
873087,Least Concern
1779278,Least Concern
168558,Vulnerable
66208,Least Concern
168559,Least Concern
66209,Least Concern
66210,Least Concern
171207,Vulnerable
1008897,Least Concern
290843,Least Concern
171208,Near Threatened
99155,Least Concern
1895586,Vulnerable
291221,Least Concern
934062,Least Concern
75744,Least Concern
2291094,Endangered
2499985,Least Concern
291206,Least Concern
168561,Endangered
290837,Least Concern
168562,Least Concern
873088,Least Concern
934069,Data Deficient
290838,Least Concern
1424747,Least Concern
2293258,Critically Endangered
47966,Least Concern
171206,Least Concern
934063,Least Concern
168563,Vulnerable
419297,Least Concern
355900,Least Concern
134797,Least Concern
934065,Least Concern
2828658,Endangered
407037,Least Concern
171212,Least Concern
1779279,Least Concern
392738,Least Concern
3054234,Data Deficient
66211,Least Concern
168564,Least Concern
171213,Least Concern
934066,Least Concern
2293257,Endangered
1895641,Least Concern
168565,Data Deficient
948960,Near Threatened
66212,Least Concern
171214,Vulnerable
168566,Least Concern
934067,Least Concern
291207,Least Concern
66213,Least Concern
379323,Least Concern
47964,Vulnerable
171216,Least Concern
168567,Least Concern
2880156,Endangered
66201,Least Concern
873090,Near Threatened
168568,Least Concern
392739,Least Concern
66214,Least Concern
134798,Critically Endangered
392740,Least Concern
290845,Least Concern
355897,Data Deficient
4025,Least Concern
168569,Vulnerable
4026,Least Concern
47968,Least Concern
168570,Least Concern
2873429,Least Concern
349748,Vulnerable
1779284,Least Concern
66215,Least Concern
75745,Least Concern
4024,Least Concern
290839,Least Concern
886263,Least Concern
2291095,Least Concern
66216,Least Concern
66217,Least Concern
934069,Least Concern
291223,Least Concern
1779285,Endangered
392741,Least Concern
703915,Critically Endangered
57652,Least Concern
171218,Least Concern
369786,Least Concern
2745142,Endangered
1779287,Least Concern
47967,Vulnerable
57650,Least Concern
57653,Least Concern
171219,Least Concern
873092,Near Threatened
134799,Least Concern
47965,Least Concern
66218,Least Concern
2810071,Least Concern
1603687,Least Concern
171221,Least Concern
290840,Least Concern
1895588,Near Threatened
168574,Least Concern
873093,Least Concern
1000413,Endangered
3050841,Data Deficient
378452,Near Threatened
378454,Least Concern
715743,Least Concern
58057,Vulnerable
505845,Endangered
2933618,Vulnerable
